,wavelength,wg_width,wg_thickness,bend_curvature,mode_number,n_eff,loss,te_fraction,selfOverlapStrength,crossOverlapStrength
0,1.5,2.3,0.38,0.0,1,1.7157029760118818,2.5211624821296712e-11,0.9995986943180528,-1.6224407983265023e-06j,(12.699439132919574-7.730658799329434e-16j)
1,1.5,2.3,0.38,0.005555555555555556,1,1.7160715773911095,5.495044760112226e-11,0.9995873915393932,9.911168327122075e-07j,(12.517464525024181-0.0026378618052726854j)
2,1.5,2.3,0.38,0.011111111111111112,1,1.7171658446497386,1.1635753721328571e-10,0.9995543906101035,2.500081165997752e-06j,(12.12381145474459-0.003512290105355853j)
3,1.5,2.3,0.38,0.016666666666666666,1,1.718956006128048,2.3959100808191333e-10,0.9995020918007544,3.265861583421161e-06j,(11.565868415798851-0.0031004191715150366j)
4,1.5,2.3,0.38,0.022222222222222223,1,1.7213977093058261,4.810518891920329e-10,0.9994338468683399,3.6498674668734705e-06j,(10.891023901905012-0.001879383275014803j)
5,1.5,2.3,0.38,0.02777777777777778,1,1.7244379996092767,9.456168558416332e-10,0.999353300332107,4.0135081982457065e-06j,(10.146666406781124-0.0003263166871200237j)
6,1.5,2.3,0.38,0.03333333333333333,1,1.7280209273462035,1.8286286782507496e-09,0.999263871377512,4.7181931594289e-06j,(9.380184424145238+0.0010816463209047068j)
7,1.5,2.3,0.38,0.03888888888888889,1,1.7320917898775832,3.4966823101676233e-09,0.99916846564015,6.125331732314093e-06j,(8.638966447715402+0.0018673714777946557j)
8,1.5,2.3,0.38,0.044444444444444446,1,1.7365997698241928,6.64636692428799e-09,0.999069388843341,8.596333298792307e-06j,(7.970400971209665+0.0015537245122850894j)
9,1.5,2.3,0.38,0.05,1,1.7414992155482658,1.2624018203417682e-08,0.9989683864837957,1.2492607240754569e-05j,(7.421876488346076-0.0003364288468886412j)
10,1.5,2.3,0.38,0.0,2,1.6412410552045438,6.168868771520441e-05,0.9978173007074496,-0.0008142388557428881j,(12.69943913292685-9.479375064434985e-16j)
11,1.5,2.3,0.38,0.005555555555555556,2,1.641138797895792,2.9175874386534954e-09,0.9978232572833904,-0.009974546879939624j,(12.517464525038388+0.0026378618053265763j)
12,1.5,2.3,0.38,0.011111111111111112,2,1.640944918127787,5.988578437978964e-09,0.997820705261491,-0.014735667701055468j,(12.123811454768914+0.0035122901055152918j)
13,1.5,2.3,0.38,0.016666666666666666,2,1.6406532511749106,1.2782673432963347e-08,0.997812969486512,-0.016255479733914748j,(11.565868415835997+0.003100419171804566j)
14,1.5,2.3,0.38,0.022222222222222223,2,1.6403093522752683,2.857567714342259e-08,0.9977956278434326,-0.015691861393341812j,(10.891023901957185+0.0018793832754333767j)
15,1.5,2.3,0.38,0.02777777777777778,2,1.6399678619588487,6.745678285157624e-08,0.997763756287098,-0.01420269109416097j,(10.146666406850045+0.0003263166876410092j)
16,1.5,2.3,0.38,0.03333333333333333,2,1.6396872166348782,1.6991289367763642e-07,0.9977125687837972,-0.01294584725119658j,(9.38018442423213-0.0010816463203334751j)
